1091826	1095193	1
1088591	1080531	2
1096602	1102718	2
1089994	1091006	2
1093395	1098559	1
1083316	1083297	1
1097971	6057684	1
1082706	1087843	2
1097913	1102350	1
3084004	1095540	2
6007093	1062079	1
3086439	1049679	1
1056845	1065555	1
1098629	1101371	2
4090680	4084355	2
4087085	4087549	2
4014380	4076624	2
4092154	4086322	2
1093680	1096680	1
4050797	4077586	1
1088451	6051018	1
2000836	0251144	2
1100323	1040444	1
2140114	1071347	1
1088153	3017161	1
1100649	1095938	1
1102255	1098155	2
1088805	1102829	1
1077881	1082159	1
4085156	4075757	1
1067380	0804057	1
1094999	1095023	1
4084350	4072734	1
1077042	1091576	1
6051306	3066349	2
1004314	4037055	1
4079095	4075845	1
3027493	6028999	1
6052914	4085461	1
1097971	1096511	1
1000768	4039783	1
1087462	1080120	1
1055679	1069013	2
4093645	4089859	1
1091375	2127753	1
1101371	1100649	2
1092893	1014831	2
1097970	1095080	1
1076518	1072058	1
1095029	1089834	1
4083224	4074934	2
2148021	2147365	1
1079521	1080344	1
1102404	4065394	1
1069482	1084267	2
4014380	4050397	2
6066095	3083556	2
1050982	1087843	1
1044326	1084751	1
1090253	1072940	1
1029877	1061772	2
6067810	6029798	2
1092713	1019500	2
3070060	3042044	1
3062687	3075826	1
4017687	4072834	1
1046999	1071887	1
4072853	4073537	2
3082360	3083548	2
1046793	1078503	2
1090268	3066266	2
1009781	1090412	1
1091459	1090630	2
1069165	1078264	1
1087840	2174660	1
1057734	1100481	2
1078425	1096999	1
1016440	3022407	2
1092017	1055293	2
3047411	4015847	2
6050212	6060071	1
6027031	3027606	1
1080714	1078953	2
4094250	4096207	1
2127752	1092645	2
1069219	1077073	1
4096092	4093523	2
1085585	1073793	2
4083857	6042097	2
1085137	3010741	1
2066821	1063955	2
1082986	1088722	1
1096904	1053342	2
4081158	4093134	1
1090434	1052096	2
2046678	1077741	1
0567193	1067882	1
2088262	1002252	2
1092700	1088455	1
6047200	6004626	1
6061669	6021041	1
1054159	1046793	1
1055461	1073710	1
1083316	0251668	2
4070652	1087218	2
1076829	1060944	1
1087947	1004465	1
1065904	1077715	2
1048502	1057734	2
3014245	4066189	2
1067161	1091672	2
1072183	1061428	2
1102661	2061190	1
1031747	6036733	1
1095130	1097333	2
3041556	1080814	2
6065605	6068813	1
6065082	6067022	1
6065395	6062248	1
6062893	6067803	1
6067610	6066138	2
1095698	3084410	1
6065605	6064512	1
3085109	1098523	1
1099951	1086805	2
4090565	6067022	1
1090065	1096584	2
6054478	1096720	1
1100169	1100171	1
6032835	6005480	1
3000013	6038496	2
6050613	6026930	1
1094509	1097930	2
4083757	4078360	1
4093286	4091239	1
4095391	4093857	2
4024638	4084836	1
4024643	4049857	1
1095700	1093937	2
3084411	1100314	2
1098225	1088631	2
3083409	3077693	1
6065395	6064643	1
4084364	4086227	2
6064514	6059422	1
6057569	6063951	1
1092051	3085109	1
4087898	6059073	1
6054478	1095193	1
1098700	1102821	1
1100314	1093937	1
3077693	1100255	1
2158188	1099181	1
6066020	6067781	1
1095698	2158188	1
1092051	1098523	1
4084788	4089423	1
4083539	4093857	1
4091363	4088428	1
4082454	4078360	1
4090186	4083131	2
6045553	6052958	2
3083409	1100255	1
6064643	6062248	2
1095700	1100314	2
1098700	1097930	1
6054478	1102250	1
4026875	4007180	1
6063713	6063951	1
6064514	6064508	1
6061600	6066512	1
6064508	6059422	2
1048078	1097821	1
1102396	1055264	2
1098700	1094509	1
4084355	4095391	2
6053112	6058382	1
6052922	6057862	2
6003511	6005455	1
1094897	1097864	1
4036612	4080889	1
4039815	4070436	1
4084180	4084524	1
1096720	1095193	2
4088378	4082358	2
3084411	1093937	2
0804057	1076829	2
3084410	1099181	1
1095698	1099181	1
2148021	1084909	1
3066266	0098577	1
1095700	3084411	2
3084410	2158188	1
6064516	4084011	1
4084055	1086862	1
1098804	1093699	2
4084013	4093094	2
4088425	4090733	2
3011356	3018443	2
4084355	4083539	2
1096720	1102250	1
1097930	1102821	1
1100677	1102901	1
1093698	1102905	2
4090565	6065082	1
1008355	6019290	2
4025988	4007037	2
4084355	4093857	1
6064512	6068813	1
1102250	1095193	2
1097687	1094318	1
4091787	4087592	1
4052873	4027039	1
4095391	4083539	2
1094509	1102821	1
6067782	6067803	1
6063713	6057569	2
4090799	4095308	2
4088671	4095184	2
1080814	2025335	1
4082454	4083757	1
6060215	3076472	1
6061160	3079443	2
6014194	6055072	1
1097843	4090272	1
1092397	1093680	1
1079463	1101912	2
3027270	6000720	1
6058213	6058203	2
1087756	1094999	1
6004582	6036383	2
3084368	1090322	1
3068504	2002657	2
4090560	4094139	1
1102905	1102906	2
4035607	1091375	2
6065076	6067610	1
1089563	1096338	1
1081780	0016787	1
1093891	0842956	2
6065477	6067782	1
1091225	1088911	2
2044458	1095326	2
1028888	1070441	1
3038673	2023828	1
4084516	4083064	2
6054478	1100255	1
2148707	1097913	2
1032235	1046843	1
1097702	1093664	2
3079696	3084248	2
4092456	6064513	2
4020923	4086180	1
6034304	6059803	1
4083847	4072526	2
4075758	4088034	2
4091017	4088439	1
4068465	6046579	2
4076615	4083299	1
1093222	1089347	1
4088606	4065351	2
4083656	4088882	1
4083501	4088445	2
4040454	4062104	1
4078238	4081543	1
4092705	4094651	1
1099329	1099339	2
0547548	3031443	2
0561860	3078447	1
6066020	6066387	1
6065013	6067610	1
1093698	1102906	2
6065477	6067803	1
6065076	6066138	2
3083637	3080428	2
1089563	1098765	1
1084750	1082781	1
1091459	1085517	2
3071714	3068659	2
1094281	1080393	2
1098078	1098114	2
4068949	4078414	2
4002546	4077321	1
1055221	3042731	1
3042412	6028084	1
6058232	6065950	2
6007950	6019742	1
4087107	4090220	2
6062893	6067782	1
1078544	1060073	1
1093982	1095372	2
2025597	1095373	1
1059945	1100460	1
1085152	1031685	1
1077220	1010205	2
3078635	3076261	2
1046134	1088805	1
3082643	3074974	2
3080669	3051224	2
3075855	3068160	1
4092510	4090489	1
3083333	3082923	1
4094476	4092321	2
1102718	1087840	2
6061534	1097413	2
1098257	1097885	2
4083416	4086880	1
1096584	1087602	1
1098028	6061615	2
